单词类别  单词值
关键字  int
标识符  aaa
逗号  ,
标识符  b
逗号  ,
标识符  c
逗号  ,
标识符  m
分号  ;
关键字  long
标识符  p
逗号  ,
标识符  q
分号  ;
关键字  float
标识符  d
逗号  ,
标识符  e
分号  ;
关键字  double
标识符  lll
分号  ;
关键字  int
标识符  fun
左小括号  (
关键字  int
标识符  x1
逗号  ,
关键字  float
标识符  x2
右小括号  )
分号  ;
关键字  int
标识符  pro
左小括号  (
关键字  int
标识符  y1
逗号  ,
关键字  int
标识符  y2
右小括号  )
分号  ;
关键字  int
标识符  fun
左小括号  (
关键字  int
标识符  x1
逗号  ,
关键字  float
标识符  x2
右小括号  )
左大括号  {
关键字  char
标识符  xxx
数组  [5]
分号  ;
关键字  char
标识符  a1
逗号  ,
标识符  a2
逗号  ,
标识符  a3
逗号  ,
标识符  a4
分号  ;
标识符  aaa
赋值号  =
整型常量  123
分号  ;
标识符  b
赋值号  =
整型常量  0123
分号  ;
标识符  c
赋值号  =
整型常量  0X156
分号  ;
标识符  m
赋值号  =
整型常量  10
分号  ;
标识符  d
赋值号  =
浮点型常量  123f
分号  ;
标识符  e
赋值号  =
浮点型常量  13.23
分号  ;
标识符  a1
赋值号  =
字符型常量  'a'
分号  ;
标识符  a2
赋值号  =
字符型常量  'A'
分号  ;
标识符  a3
赋值号  =
字符型常量  'd'
分号  ;
标识符  xxx
赋值号  =
字符串常量  "dsad"
分号  ;
标识符  p
赋值号  =
长整型常量  1222L
分号  ;
标识符  q
赋值号  =
长整型常量  12l
分号  ;
关键字  if
左小括号  (
标识符  x1
大于等于号  >=
标识符  x2
且  &&
标识符  x1
不等于号  !=
整型常量  0
右小括号  )
左大括号  {
标识符  x1
赋值号  =
标识符  a3
等于号  ==
整型常量  4
或  ||
标识符  a2
不等于号  !=
整型常量  6
且  &&
标识符  e
大于号  >
整型常量  1
且  &&
标识符  e
小于号  <
整型常量  5
且  &&
标识符  d
大于等于号  >=
整型常量  1
且  &&
标识符  d
小于等于号  <=
整型常量  9
且  &&
标识符  aaa
加号  +
左小括号  (
整型常量  10
减号  -
标识符  b
右小括号  )
乘号  *
整型常量  5
除号  /
左小括号  (
标识符  d
求余号  %
整型常量  10
右小括号  )
加号  +
标识符  a1
分号  ;
标识符  m
赋值号  =
标识符  x1
分号  ;
右大括号  }
关键字  else
标识符  m
赋值号  =
标识符  x2
分号  ;
关键字  if
左小括号  (
标识符  x1
大于号  >
整型常量  3
且  &&
标识符  x1
小于号  <
整型常量  8
或  ||
标识符  x1
加号  +
标识符  x2
等于号  ==
整型常量  10
或  ||
标识符  x1
不等于号  !=
标识符  x2
右小括号  )
标识符  m
赋值号  =
标识符  x1
加号  +
标识符  x2
分号  ;
关键字  return
标识符  m
分号  ;
右大括号  }
关键字  int
标识符  pro
左小括号  (
关键字  int
标识符  y1
逗号  ,
关键字  int
标识符  y2
右小括号  )
左大括号  {
关键字  int
标识符  i
逗号  ,
标识符  j
逗号  ,
标识符  k
分号  ;
标识符  k
赋值号  =
整型常量  3
分号  ;
关键字  while
左小括号  (
整型常量  1
右小括号  )
左大括号  {
标识符  y1
赋值号  =
整型常量  9
分号  ;
关键字  for
左小括号  (
标识符  i
赋值号  =
整型常量  0
分号  ;
标识符  i
小于号  <
标识符  y1
分号  ;
标识符  i
赋值号  =
标识符  i
加号  +
整型常量  1
右小括号  )
关键字  for
左小括号  (
标识符  j
赋值号  =
标识符  i
分号  ;
标识符  j
小于等于号  <=
标识符  y2
分号  ;
标识符  j
赋值号  =
标识符  j
加号  +
整型常量  2
右小括号  )
左大括号  {
关键字  if
左小括号  (
标识符  j
等于号  ==
标识符  i
加号  +
标识符  k
右小括号  )
关键字  break
分号  ;
关键字  else
关键字  if
左小括号  (
标识符  j
等于号  ==
标识符  i
加号  +
标识符  k
减号  -
整型常量  1
右小括号  )
关键字  continue
分号  ;
右大括号  }
右大括号  }
关键字  if
左小括号  (
标识符  aaa
加号  +
标识符  i
小于等于号  <=
标识符  j
右小括号  )
左大括号  {
关键字  if
左小括号  (
标识符  y1
等于号  ==
标识符  y2
右小括号  )
左大括号  {
标识符  j
赋值号  =
标识符  j
加号  +
整型常量  1
分号  ;
标识符  k
赋值号  =
标识符  j
乘号  *
标识符  k
减号  -
整型常量  5
除号  /
标识符  k
分号  ;
右大括号  }
关键字  else
标识符  j
赋值号  =
整型常量  1
分号  ;
右大括号  }
关键字  while
左小括号  (
标识符  i
加号  +
标识符  j
等于号  ==
整型常量  1
且  &&
标识符  j
等于号  ==
左小括号  (
标识符  i
加号  +
整型常量  7
右小括号  )
乘号  *
